 Student_ID   Study_Hours    Exam_Score 

 1                   1.0          35 
 2                   1.5          40 
 3                   2.0          42 
 4                   2.5          45 
 5                   3.0          48 
 6                   3.5          50 
 7                   4.0          53 
 8                   4.5          55 
 9                   5.0          58 
 10                  5.5          60 
 11                  6.0          63 
 12                  6.5          65 
 13                  7.0          68 
 14                  7.5          70 
 15                  8.0          73 
 16                  8.5          75 
 17                  9.0          78 
 18                  9.5          80 
 19                 10.0          82 
 20                  1.2          37 
 21                  1.8          41 
 22                  2.3          44 
 23                  2.8          47 
 24                  3.3          49 
 25                  3.8          52 
 26                  4.3          54 
 27                  4.8          57 
 28                  5.3          59 
 29                  5.8          62 
 30                  6.3          64 
 31                  6.8          67 
 32                  7.3          69 
 33                  7.8          72 
 34                  8.3          74 
 35                  8.8          77 
 36                  9.3          79 
 37                  9.8          81 
 38                 10.5          85 
 39                 11.0          88 
 40                 11.5          90 
 41                 12.0          92 
 42                 12.5          94 
 43                 13.0          95 
 44                 13.5          96 
 45                 14.0          97 
 46                 14.5          98 
 47                 15.0          99 
 48                 15.5         100 
 49                 16.0         100 
 50                 16.5         100 
